ID,Gender,Age,Education,Experience_Years,Interview_Score,Technical_Score,Communication_Score,Fair_Score,Biased_Score,Selected_Fair,Selected
1,Male,29,Bachelor,1.9,57.9,49.0,72.7,0.3408,0.3444,0,0
2,Non-Binary,27,Bachelor,7.6,54.7,59.2,58.3,0.423,0.4024,0,0
3,Female,22,Bachelor,1.9,74.5,62.8,67.9,0.4256,0.3778,0,0
4,Male,31,Bachelor,11.4,63.7,78.3,62.8,0.5659,0.5708,0,1
5,Male,31,Bachelor,4.4,70.2,81.7,69.3,0.508,0.491,0,0
6,Male,33,Bachelor,4.4,67.7,55.3,48.6,0.3925,0.3846,0,0
7,Male,32,Bachelor,2.7,84.0,74.9,46.4,0.4746,0.4439,0,0
8,Female,24,Master,2.7,61.2,91.5,55.5,0.5558,0.4753,0,0
9,Female,29,Bachelor,1.2,68.3,55.3,78.4,0.3879,0.3213,0,0
10,Female,33,Bachelor,5.5,67.8,30.5,39.5,0.3189,0.2808,0,0
11,Male,30,Bachelor,4.8,52.2,58.5,55.5,0.3721,0.4074,0,0
12,Non-Binary,28,Bachelor,2.9,75.6,57.6,86.8,0.4497,0.4296,0,0
13,Female,27,Bachelor,1.7,67.4,72.6,65.9,0.4306,0.3452,0,0
14,Male,23,Bachelor,2.1,78.4,68.0,59.6,0.4453,0.4226,0,0
15,Male,24,Master,7.3,91.1,72.4,84.0,0.6801,0.6606,1,1
16,Male,33,Bachelor,6.8,62.2,67.1,78.3,0.4834,0.457,0,0
17,Male,28,High School,5.3,68.7,89.8,80.8,0.4723,0.4681,0,0
18,Male,31,Bachelor,7.2,77.6,57.0,94.2,0.5213,0.5247,0,0
19,Male,29,Bachelor,3.7,67.3,63.5,80.3,0.4471,0.4277,0,0
20,Male,29,Bachelor,6.5,87.7,76.7,38.2,0.5323,0.529,0,0
21,Female,35,PhD,2.4,66.8,100.0,78.0,0.7058,0.6244,1,1
22,Male,26,Bachelor,6.6,76.1,55.5,45.6,0.4434,0.4539,0,0
23,Male,29,Bachelor,1.9,76.0,71.9,68.0,0.4584,0.4608,0,0
24,Male,27,Bachelor,0.5,81.8,82.1,67.2,0.4869,0.4918,0,0
25,Male,27,Bachelor,4.7,68.7,84.0,58.4,0.5014,0.5008,0,0
26,Female,22,Master,2.3,86.0,73.5,60.9,0.572,0.4882,0,0
27,Male,29,Bachelor,0.7,65.0,60.6,59.1,0.3641,0.3522,0,0
28,Male,27,Bachelor,7.9,58.4,73.9,61.6,0.4878,0.468,0,0
29,Male,34,High School,6.8,56.6,77.9,64.3,0.4002,0.4227,0,0
30,Male,25,Bachelor,4.9,50.7,73.7,67.4,0.4315,0.4095,0,0
31,Female,26,Master,1.1,81.6,42.7,60.0,0.4457,0.4065,0,0
32,Male,27,Master,1.0,71.7,55.8,61.9,0.4592,0.4373,0,0
33,Male,34,High School,0.6,65.5,60.2,82.6,0.309,0.3205,0,0
34,Female,31,High School,6.2,60.5,61.5,71.6,0.3611,0.3324,0,0
35,Non-Binary,26,Bachelor,3.0,36.1,62.9,47.2,0.3048,0.3007,0,0
36,Female,24,Master,4.2,66.6,55.6,63.6,0.4896,0.4153,0,0
37,Male,30,Bachelor,5.4,96.1,59.8,100.0,0.5659,0.5684,0,1
38,Male,32,Master,5.5,77.1,48.1,72.1,0.5246,0.5156,0,0
39,Female,27,Bachelor,1.9,72.9,42.7,58.9,0.3469,0.292,0,0
40,Male,33,Master,0.9,65.4,80.4,57.0,0.5105,0.5112,0,0
41,Male,26,Bachelor,2.4,55.9,72.2,60.2,0.3987,0.4109,0,0
42,Male,34,Bachelor,5.3,67.7,81.2,62.7,0.5033,0.4944,0,0
43,Male,38,Master,8.9,42.1,86.7,98.1,0.6236,0.6285,1,1
44,Female,25,Master,1.7,68.0,71.3,49.9,0.4916,0.419,0,0
45,Male,27,Master,4.8,34.2,100.0,55.3,0.5332,0.5176,0,0
46,Female,29,Bachelor,6.7,77.1,63.9,69.0,0.5031,0.4379,0,0
47,Male,35,Bachelor,4.7,54.3,67.0,66.8,0.4174,0.4135,0,0
48,Male,26,Bachelor,1.3,59.6,60.1,63.2,0.3603,0.3703,0,0
49,Male,27,Master,5.9,61.1,77.6,58.1,0.5589,0.5401,0,0
50,Male,27,Bachelor,7.7,91.1,65.9,72.4,0.5674,0.5998,0,1
51,Non-Binary,30,PhD,5.6,61.6,70.6,74.3,0.6379,0.5664,1,0
52,Female,28,Bachelor,12.4,85.0,78.5,88.1,0.6729,0.5955,1,1
53,Female,31,Master,3.7,55.7,93.4,71.7,0.5798,0.506,0,0
