ID,Gender,Age,Race_Ethnicity,Religion,Continent,Education,Experience_Years,Interview_Score,Technical_Score,Communication_Score,Fair_Score,Biased_Score,Selected_Fair,Selected
1,Male,41,White,Unaffiliated,Asia,Bachelor,5.7,55.1,65.1,67.8,0.4379,0.3835,0,0
2,Female,58,White,Muslim,South America,Master,1.7,64.8,76.4,42.8,0.5092,0.2818,0,0
3,Female,31,Black,Christian,North America,Master,0.9,86.2,79.9,66.5,0.5937,0.4023,0,0
4,Female,21,Other,Jewish,Europe,Master,6.0,79.3,84.7,71.2,0.6405,0.4584,1,0
5,Male,47,White,Christian,South America,PhD,1.3,61.6,88.5,61.8,0.6375,0.5089,1,1
6,Male,21,White,Muslim,North America,Master,4.0,46.1,90.6,84.8,0.5742,0.4512,0,0
7,Male,37,White,Christian,North America,Bachelor,0.4,64.9,74.3,70.5,0.4435,0.4639,0,0
8,Female,38,White,Hindu,Asia,Bachelor,6.4,57.5,69.4,57.1,0.4482,0.2936,0,0
9,Female,34,White,Christian,South America,Bachelor,1.9,47.0,81.2,43.6,0.3978,0.3194,0,0
10,Female,21,White,Christian,Europe,High School,5.3,48.2,60.1,62.0,0.3134,0.2682,0,0
11,Male,29,Asian,Unaffiliated,Asia,Master,3.0,61.8,58.2,74.3,0.5034,0.3815,0,0
12,Non-Binary,21,White,Christian,North America,High School,6.0,70.2,61.9,66.7,0.3843,0.3378,0,0
13,Female,37,Black,Hindu,Asia,Bachelor,1.7,71.6,85.6,79.8,0.5136,0.2723,0,0
14,Male,24,White,Hindu,Asia,Master,6.4,36.4,69.7,75.4,0.5034,0.3646,0,0
15,Male,21,White,Christian,Asia,Bachelor,10.5,81.8,76.2,69.4,0.5778,0.4567,0,0
16,Male,40,Black,Jewish,North America,Bachelor,4.5,65.3,43.4,71.5,0.3985,0.309,0,0
17,Male,21,Asian,Christian,North America,Master,3.3,73.3,71.1,77.3,0.5729,0.495,0,1
18,Female,34,White,Buddhist,Africa,Bachelor,9.7,63.4,60.8,70.5,0.4853,0.3502,0,0
19,Male,25,Asian,Muslim,Asia,Bachelor,12.6,77.0,89.1,71.0,0.6213,0.3831,1,0
20,Male,41,Hispanic,Christian,South America,Bachelor,3.0,79.2,86.3,80.9,0.5469,0.3808,0,0
21,Female,41,White,Christian,North America,Bachelor,2.7,75.8,67.3,67.8,0.4683,0.4419,0,0
22,Male,35,White,Jewish,Asia,High School,5.4,91.7,86.9,80.8,0.517,0.433,0,0
23,Male,31,Black,Muslim,North America,Bachelor,2.6,69.5,43.9,83.8,0.4087,0.2594,0,0
24,Male,28,White,Hindu,South America,Bachelor,8.5,71.0,67.5,40.1,0.4736,0.393,0,0
25,Male,21,White,Christian,North America,Master,3.7,73.3,81.6,79.4,0.6074,0.6215,1,1
26,Female,27,White,Buddhist,Africa,High School,5.4,82.2,83.9,64.5,0.4652,0.3356,0,0
27,Male,37,White,Christian,Asia,Bachelor,3.5,67.0,61.2,66.2,0.4353,0.3573,0,0
28,Female,52,Asian,Hindu,South America,PhD,2.2,78.6,64.3,62.6,0.6228,0.3791,1,0
29,Female,38,White,Christian,North America,High School,2.7,65.9,75.5,53.1,0.3644,0.3328,0,0
30,Male,40,White,Christian,South America,Master,3.3,73.4,60.5,79.9,0.5478,0.5051,0,1
31,Female,31,White,Hindu,Africa,High School,10.6,67.5,76.1,74.5,0.4663,0.323,0,0
32,Male,38,Hispanic,Christian,Europe,Master,2.4,73.5,53.5,52.8,0.4874,0.3901,0,0
33,Male,21,Black,Unaffiliated,Europe,Bachelor,2.4,80.7,58.9,52.3,0.4357,0.2807,0,0
34,Female,25,Asian,Hindu,Asia,Master,8.1,83.3,44.3,49.3,0.5324,0.353,0,0
35,Non-Binary,40,Hispanic,Unaffiliated,Europe,Master,2.5,60.6,90.5,64.2,0.5707,0.4285,0,0
36,Female,40,Black,Christian,North America,High School,1.8,78.7,85.0,76.7,0.4431,0.2985,0,0
37,Male,27,White,Christian,Asia,High School,9.2,62.3,84.5,65.2,0.4523,0.3677,0,0
38,Male,21,White,Muslim,North America,Master,3.0,76.0,75.8,63.3,0.5721,0.4663,0,0
39,Female,32,Hispanic,Christian,South America,Bachelor,1.0,66.2,61.1,73.8,0.4205,0.2977,0,0
40,Male,28,Asian,Christian,Asia,High School,1.8,52.5,54.2,77.9,0.297,0.221,0,0
41,Male,42,Other,Hindu,North America,Bachelor,4.2,71.1,88.2,70.0,0.5291,0.4191,0,0
42,Female,40,Black,Hindu,Asia,Bachelor,6.3,45.6,75.6,86.0,0.4709,0.2471,0,0
43,Male,48,White,Christian,Oceania,Master,8.1,61.5,92.0,70.5,0.6341,0.5509,1,1
44,Female,44,White,Jewish,Oceania,Bachelor,4.8,69.2,58.4,74.8,0.4553,0.388,0,0
45,Male,30,White,Muslim,Europe,Master,5.7,68.6,54.0,83.0,0.5434,0.4737,0,0
46,Female,36,White,Muslim,North America,Bachelor,1.0,47.0,78.7,92.3,0.4439,0.3214,0,0
47,Male,53,White,Christian,South America,Bachelor,3.0,66.4,68.1,62.5,0.4434,0.3244,0,0
48,Female,28,White,Christian,Asia,High School,3.7,58.6,60.4,80.9,0.3492,0.2844,0,0
49,Female,34,White,Hindu,North America,Bachelor,8.4,69.0,66.2,87.9,0.5239,0.4321,0,0
50,Male,32,Black,Jewish,Asia,Bachelor,5.3,63.0,81.5,62.0,0.4909,0.2976,0,0
51,Non-Binary,33,White,Christian,Oceania,Master,8.3,72.3,77.5,77.0,0.6314,0.5919,1,1
52,Female,24,Black,Hindu,Asia,PhD,2.2,74.2,73.0,61.2,0.6338,0.3439,1,0
53,Female,46,White,Christian,North America,Master,8.7,76.3,69.7,76.8,0.6234,0.5013,1,1
54,Female,23,White,Buddhist,North America,Master,4.9,78.4,94.1,67.5,0.6494,0.5411,1,1
55,Female,51,Other,Muslim,South America,High School,4.5,74.4,65.9,60.1,0.384,0.1973,0,0
56,Female,49,White,Jewish,Oceania,Master,1.4,64.4,72.0,67.0,0.5239,0.4096,0,0
57,Male,35,Asian,Muslim,Asia,High School,6.7,65.4,63.0,57.0,0.3696,0.2287,0,0
58,Male,33,White,Christian,Europe,Bachelor,6.1,64.4,71.2,51.3,0.4602,0.4638,0,0
59,Male,25,White,Christian,North America,High School,4.8,69.9,59.0,59.7,0.3565,0.3758,0,0
60,Male,33,White,Christian,Asia,Master,3.0,74.0,67.1,64.0,0.5446,0.4857,0,1
61,Male,43,White,Christian,North America,High School,7.9,56.4,60.1,59.2,0.3529,0.3511,0,0
62,Male,26,White,Christian,Oceania,Bachelor,0.9,44.1,98.4,70.2,0.4615,0.4849,0,1
63,Female,47,Hispanic,Jewish,North America,Bachelor,1.8,85.4,81.2,76.7,0.5326,0.3188,0,0
64,Male,43,White,Christian,Asia,Bachelor,2.6,56.2,56.1,69.5,0.3911,0.3592,0,0
65,Male,31,Black,Unaffiliated,Africa,Bachelor,3.7,48.9,75.3,55.6,0.4174,0.2603,0,0
66,Female,40,White,Christian,Africa,Master,6.2,82.5,65.0,61.2,0.5845,0.4286,0,0
67,Male,23,White,Unaffiliated,Asia,Bachelor,3.0,52.6,74.0,70.9,0.4359,0.3442,0,0
68,Female,31,Asian,Unaffiliated,Asia,Bachelor,3.8,66.9,56.0,65.3,0.4225,0.2778,0,0
69,Male,55,Asian,Christian,Europe,PhD,1.8,69.9,94.5,79.3,0.7003,0.5808,1,1
70,Non-Binary,44,White,Unaffiliated,Asia,Bachelor,2.1,96.5,36.9,78.8,0.4455,0.3391,0,0
71,Female,37,White,Unaffiliated,North America,Master,5.6,71.4,76.9,61.8,0.5848,0.5116,0,1
72,Male,33,White,Christian,Asia,Bachelor,2.5,75.6,75.9,77.2,0.501,0.4306,0,0
73,Male,32,Other,Unaffiliated,Asia,Master,8.3,71.0,64.6,60.9,0.5733,0.3912,0,0
74,Female,32,White,Christian,Asia,Bachelor,4.6,48.0,79.5,73.3,0.4565,0.3404,0,0
75,Female,25,Hispanic,Christian,Europe,Bachelor,2.3,69.1,91.0,64.6,0.5083,0.3707,0,0
76,Female,39,White,Muslim,Asia,Master,2.8,80.0,72.3,89.7,0.6037,0.3473,1,0
77,Female,43,Other,Christian,South America,Bachelor,3.4,60.8,48.4,49.0,0.3631,0.2413,0,0
78,Male,30,White,Christian,Oceania,Master,4.9,66.3,82.4,50.8,0.5672,0.5826,0,1
79,Male,37,White,Unaffiliated,Asia,Bachelor,9.2,56.0,46.6,70.9,0.4249,0.3572,0,0
80,Male,25,Black,Unaffiliated,North America,High School,3.1,86.8,81.1,79.9,0.4679,0.3644,0,0
81,Female,32,Other,Buddhist,Asia,Master,10.0,75.5,83.5,55.3,0.6433,0.3809,1,0
82,Female,24,Other,Muslim,North America,Master,2.5,90.0,58.0,63.6,0.5544,0.3243,0,0
83,Male,30,Hispanic,Unaffiliated,Asia,Bachelor,6.2,51.5,51.5,84.3,0.4174,0.2886,0,0
84,Male,34,Hispanic,Christian,North America,Bachelor,7.0,57.1,59.6,71.4,0.4439,0.3561,0,0
85,Male,39,Black,Unaffiliated,Asia,Master,7.6,76.5,63.0,60.7,0.5761,0.3696,0,0
86,Male,26,Hispanic,Christian,Asia,Master,14.1,98.7,64.4,63.9,0.6956,0.4426,1,0
87,Female,37,Asian,Unaffiliated,Europe,Bachelor,2.8,67.5,88.7,74.4,0.5148,0.3726,0,0
88,Female,23,White,Hindu,North America,Bachelor,3.4,68.1,62.1,61.2,0.4333,0.3655,0,0
89,Female,36,Black,Unaffiliated,Asia,PhD,3.3,54.5,87.2,72.4,0.6474,0.3471,1,0
90,Male,55,White,Unaffiliated,Asia,PhD,4.7,72.3,79.0,48.6,0.6516,0.478,1,1
91,Male,29,Black,Unaffiliated,North America,Bachelor,8.6,80.5,79.7,82.7,0.5839,0.4621,0,0
92,Female,21,Asian,Hindu,Europe,PhD,5.6,85.5,73.5,80.4,0.7168,0.5039,1,1
93,Female,41,White,Buddhist,Asia,Bachelor,5.0,67.3,55.0,52.4,0.4152,0.3129,0,0
94,Female,35,White,Jewish,North America,High School,3.5,58.0,52.8,60.5,0.3,0.263,0,0
95,Female,37,White,Christian,South America,High School,7.5,69.9,55.0,66.3,0.3777,0.2876,0,0
96,Female,45,White,Hindu,North America,Bachelor,8.0,69.9,65.3,76.8,0.5063,0.377,0,0
97,Female,25,White,Christian,North America,Master,3.4,88.0,80.2,83.9,0.6427,0.5648,1,1
98,Male,26,Asian,Unaffiliated,North America,Master,3.8,90.5,60.3,72.0,0.5838,0.553,0,1
